metric_code,metric_name,tool_name,dimension,definition,measurement_scale,high_score_characteristics,low_score_characteristics
APT_VERBAL_VOCAB,어휘능력,적성검사,언어적능력,어휘의 의미를 정확히 이해하고 적절히 활용하는 능력. 단어 이해력과 활용도를 측정함,100점 척도,"풍부한 어휘력, 정확한 단어 선택, 맥락적 이해, 전문 용어 활용, 표현의 다양성","제한된 어휘력, 부정확한 단어 사용, 맥락 이해 부족, 전문 용어 어려움, 단조로운 표현"
APT_VERBAL_COMPOSITION,문장구성력,적성검사,언어적능력,문법에 맞고 논리적인 문장을 구성하는 능력입니다.,100점 척도,우수한 능력,개선 필요
APT_VERBAL_DECODING,문장해독력,적성검사,언어적능력,복잡한 문장의 의미를 정확히 파악하는 능력입니다.,100점 척도,우수한 능력,개선 필요
APT_VERBAL_ENGLISH,영어능력,적성검사,언어적능력,영어 독해 및 활용 능력입니다.,100점 척도,우수한 능력,개선 필요
APT_NUMERICAL_TOTAL,수리적능력,적성검사,상위요인,수량적 정보를 이해하고 논리적으로 사고하는 종합 능력. 수리적 업무 수행 능력을 측정함,평균점수,"높은 수리 능력, 논리적 사고, 통계적 이해, 데이터 분석 가능, 수리적 업무 적합","수리 능력 부족, 논리적 사고 어려움, 통계 이해 부족, 데이터 분석 어려움, 수리적 업무 부적합"
APT_NUMERICAL_QUANTITY,수량적처리능력,적성검사,수리적능력,수치 데이터를 빠르고 정확하게 처리하는 능력입니다.,100점 척도,우수한 능력,개선 필요
APT_NUMERICAL_STATISTICS,통계적처리능력,적성검사,수리적능력,통계적 개념을 이해하고 적용하는 능력입니다.,100점 척도,우수한 능력,개선 필요
APT_NUMERICAL_LOGIC,논리적사고능력,적성검사,수리적능력,논리적 추론과 문제 해결 능력입니다.,100점 척도,우수한 능력,개선 필요
APT_SITUATIONAL_JUDGMENT,상황판단능력,적성검사,상위요인,"조직 상황에서의 적절한 판단력을 측정. 상황 인식, 대안 평가, 최적 선택 능력을 평가함",평균점수,"상황 판단 우수, 적절한 대응, 갈등 해결 능력, 조직 적응력, 현실적 판단","상황 판단 미흡, 부적절한 대응, 갈등 해결 어려움, 조직 부적응, 비현실적 판단"
APT_SOCIAL_KNOWLEDGE,사회적상식,적성검사,상위요인,사회 구성원으로서 필요한 기본 상식과 사회적 이해를 측정함,평균점수,"풍부한 사회 상식, 시사 이해, 사회 규범 인식, 상식적 판단, 사회적 적응","사회 상식 부족, 시사 무관심, 사회 규범 무지, 비상식적 판단, 사회적 부적응"
APT_INTERPERSONAL_SKILLS,대인관계능력,적성검사,상위요인,타인과의 관계 형성과 유지 능력을 측정. 대인관계 기술과 사회적 기술을 평가함,평균점수,"원활한 대인관계, 사회적 기술 우수, 갈등 조정 능력, 네트워킹 능력, 팀워크","대인관계 어려움, 사회적 기술 부족, 갈등 해결 미흡, 네트워킹 부족, 개인주의"
