goal_id,employee_id,goal_type,goal_category,goal_description,target_period,set_date,target_completion_date,progress_percentage,status,final_achievement_rate,manager_id
GOAL01716,EMP041,KPI,업무 성과,고객 만족도 25% 향상,2024 Q2,2024-04-05,2024-07-04,77,부분 달성,,TL003
GOAL01717,EMP041,KPI,역량 개발,신규 기술 스택 학습 및 프로젝트 적용,2024 Q3,2024-07-03,2024-10-01,90,완료,90.0,TL003
GOAL01718,EMP041,KPI,역량 개발,신규 기술 스택 학습 및 프로젝트 적용,2024 Q3,2024-07-03,2024-10-01,85,완료,85.0,TL003
GOAL01719,EMP041,MBO,프로세스 개선,업무 프로세스 효율성 39% 개선,2024 Q3,2024-07-03,2024-10-01,88,완료,88.0,TL003
GOAL01720,EMP041,MBO,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2024 Q3,2024-07-03,2024-10-01,78,부분 달성,,TL003
GOAL01721,EMP041,KPI,역량 개발,AI/ML 역량 강화 교육 이수,2024 Q4,2024-10-05,2025-01-03,82,완료,82.0,TL003
GOAL01722,EMP041,MBO,협업 강화,크로스 팀 협업 프로젝트 3건 이상 참여,2024 Q4,2024-10-05,2025-01-03,88,완료,88.0,TL003
GOAL01723,EMP041,OKR,협업 강화,크로스 팀 협업 프로젝트 5건 이상 참여,2024 Q4,2024-10-05,2025-01-03,87,완료,87.0,TL003
GOAL01724,EMP041,KPI,협업 강화,지식 공유 세션 주도 및 팀 역량 향상 기여,2024 Q4,2024-10-05,2025-01-03,93,완료,93.0,TL003
GOAL01725,EMP042,MBO,업무 성과,핵심 업무 지표 목표치 95% 달성,2022 Q1,2022-01-03,2022-04-03,83,완료,83.0,TL003
GOAL01726,EMP042,MBO,프로젝트 완수,프로젝트 목표 품질 기준 96% 달성,2022 Q1,2022-01-03,2022-04-03,92,완료,92.0,TL003
GOAL01727,EMP042,MBO,프로세스 개선,업무 프로세스 효율성 27% 개선,2022 Q2,2022-04-03,2022-07-02,76,부분 달성,,TL003
GOAL01728,EMP042,MBO,역량 개발,Python 역량 강화 교육 이수,2022 Q2,2022-04-03,2022-07-02,92,완료,92.0,TL003
GOAL01729,EMP042,KPI,협업 강화,크로스 팀 협업 프로젝트 3건 이상 참여,2022 Q2,2022-04-03,2022-07-02,95,완료,95.0,TL003
GOAL01730,EMP042,OKR,협업 강화,크로스 팀 협업 프로젝트 3건 이상 참여,2022 Q3,2022-07-05,2022-10-03,76,부분 달성,,TL003
GOAL01731,EMP042,MBO,역량 개발,신규 기술 스택 학습 및 프로젝트 적용,2022 Q3,2022-07-05,2022-10-03,79,부분 달성,,TL003
GOAL01732,EMP042,MBO,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2022 Q3,2022-07-05,2022-10-03,94,완료,94.0,TL003
GOAL01733,EMP042,OKR,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2022 Q3,2022-07-05,2022-10-03,75,부분 달성,,TL003
GOAL01734,EMP042,OKR,프로젝트 완수,개발 프로젝트 일정 내 완수,2022 Q4,2022-10-02,2022-12-31,91,완료,91.0,TL003
GOAL01735,EMP042,KPI,프로젝트 완수,프로젝트 목표 품질 기준 92% 달성,2022 Q4,2022-10-02,2022-12-31,75,부분 달성,,TL003
GOAL01736,EMP042,OKR,프로세스 개선,반복 업무 자동화로 시간 42% 절감,2022 Q4,2022-10-02,2022-12-31,78,부분 달성,,TL003
GOAL01737,EMP042,KPI,업무 성과,핵심 업무 지표 목표치 98% 달성,2022 Q4,2022-10-02,2022-12-31,70,부분 달성,,TL003
GOAL01738,EMP042,KPI,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2023 Q1,2023-01-07,2023-04-07,96,완료,96.0,TL003
GOAL01739,EMP042,KPI,협업 강화,크로스 팀 협업 프로젝트 5건 이상 참여,2023 Q1,2023-01-07,2023-04-07,80,완료,80.0,TL003
GOAL01740,EMP042,MBO,역량 개발,AI/ML 역량 강화 교육 이수,2023 Q1,2023-01-07,2023-04-07,96,완료,96.0,TL003
GOAL01741,EMP042,MBO,업무 성과,매출 17% 향상,2023 Q1,2023-01-07,2023-04-07,89,완료,89.0,TL003
GOAL01742,EMP042,MBO,혁신 과제,신규 아이디어 제안 및 실행 2건,2023 Q2,2023-04-04,2023-07-03,82,완료,82.0,TL003
GOAL01743,EMP042,OKR,프로젝트 완수,개발 프로젝트 일정 내 완수,2023 Q2,2023-04-04,2023-07-03,73,부분 달성,,TL003
GOAL01744,EMP042,MBO,프로세스 개선,반복 업무 자동화로 시간 36% 절감,2023 Q2,2023-04-04,2023-07-03,91,완료,91.0,TL003
GOAL01745,EMP042,OKR,프로젝트 완수,개선 프로젝트 일정 내 완수,2023 Q3,2023-07-01,2023-09-29,85,완료,85.0,TL003
GOAL01746,EMP042,KPI,업무 성과,핵심 업무 지표 목표치 105% 달성,2023 Q3,2023-07-01,2023-09-29,99,완료,99.0,TL003
GOAL01747,EMP042,MBO,협업 강화,크로스 팀 협업 프로젝트 3건 이상 참여,2023 Q3,2023-07-01,2023-09-29,97,완료,97.0,TL003
GOAL01748,EMP042,KPI,프로젝트 완수,구축 프로젝트 일정 내 완수,2023 Q3,2023-07-01,2023-09-29,91,완료,91.0,TL003
GOAL01749,EMP042,MBO,역량 개발,신규 기술 스택 학습 및 프로젝트 적용,2023 Q4,2023-10-01,2023-12-30,70,부분 달성,,TL003
GOAL01750,EMP042,MBO,역량 개발,신규 기술 스택 학습 및 프로젝트 적용,2023 Q4,2023-10-01,2023-12-30,79,부분 달성,,TL003
GOAL01751,EMP042,MBO,역량 개발,신규 기술 스택 학습 및 프로젝트 적용,2023 Q4,2023-10-01,2023-12-30,98,완료,98.0,TL003
GOAL01752,EMP042,KPI,프로젝트 완수,프로젝트 목표 품질 기준 90% 달성,2024 Q1,2024-01-03,2024-04-02,84,완료,84.0,TL003
GOAL01753,EMP042,KPI,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2024 Q1,2024-01-03,2024-04-02,84,완료,84.0,TL003
GOAL01754,EMP042,MBO,역량 개발,리더십 역량 강화 교육 이수,2024 Q2,2024-04-04,2024-07-03,93,완료,93.0,TL003
GOAL01755,EMP042,OKR,프로젝트 완수,프로젝트 목표 품질 기준 99% 달성,2024 Q2,2024-04-04,2024-07-03,71,부분 달성,,TL003
GOAL01756,EMP042,OKR,업무 성과,핵심 업무 지표 목표치 94% 달성,2024 Q2,2024-04-04,2024-07-03,99,완료,99.0,TL003
GOAL01757,EMP042,OKR,프로세스 개선,업무 프로세스 효율성 23% 개선,2024 Q2,2024-04-04,2024-07-03,100,완료,100.0,TL003
GOAL01758,EMP042,MBO,혁신 과제,신규 아이디어 제안 및 실행 2건,2024 Q3,2024-07-02,2024-09-30,82,완료,82.0,TL003
GOAL01759,EMP042,KPI,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2024 Q3,2024-07-02,2024-09-30,88,완료,88.0,TL003
GOAL01760,EMP042,KPI,프로젝트 완수,프로젝트 목표 품질 기준 97% 달성,2024 Q3,2024-07-02,2024-09-30,91,완료,91.0,TL003
GOAL01761,EMP042,OKR,역량 개발,신규 기술 스택 학습 및 프로젝트 적용,2024 Q4,2024-10-06,2025-01-04,97,완료,97.0,TL003
GOAL01762,EMP042,KPI,역량 개발,데이터 분석 역량 강화 교육 이수,2024 Q4,2024-10-06,2025-01-04,100,완료,100.0,TL003
GOAL01763,EMP043,MBO,프로세스 개선,업무 프로세스 효율성 30% 개선,2022 Q1,2022-01-07,2022-04-07,89,완료,89.0,TL003
GOAL01764,EMP043,KPI,역량 개발,데이터 분석 역량 강화 교육 이수,2022 Q1,2022-01-07,2022-04-07,84,완료,84.0,TL003
GOAL01765,EMP043,OKR,역량 개발,신규 기술 스택 학습 및 프로젝트 적용,2022 Q1,2022-01-07,2022-04-07,99,완료,99.0,TL003
GOAL01766,EMP043,OKR,업무 성과,고객 만족도 24% 향상,2022 Q1,2022-01-07,2022-04-07,80,완료,80.0,TL003
GOAL01767,EMP043,KPI,프로세스 개선,업무 프로세스 효율성 27% 개선,2022 Q2,2022-04-07,2022-07-06,90,완료,90.0,TL003
GOAL01768,EMP043,OKR,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2022 Q2,2022-04-07,2022-07-06,75,부분 달성,,TL003
GOAL01769,EMP043,KPI,혁신 과제,신규 아이디어 제안 및 실행 3건,2022 Q3,2022-07-01,2022-09-29,95,완료,95.0,TL003
GOAL01770,EMP043,KPI,혁신 과제,신규 아이디어 제안 및 실행 1건,2022 Q3,2022-07-01,2022-09-29,91,완료,91.0,TL003
GOAL01771,EMP043,MBO,프로젝트 완수,개선 프로젝트 일정 내 완수,2022 Q3,2022-07-01,2022-09-29,77,부분 달성,,TL003
GOAL01772,EMP043,KPI,업무 성과,핵심 업무 지표 목표치 108% 달성,2022 Q4,2022-10-07,2023-01-05,78,부분 달성,,TL003
GOAL01773,EMP043,KPI,혁신 과제,신규 아이디어 제안 및 실행 2건,2022 Q4,2022-10-07,2023-01-05,79,부분 달성,,TL003
GOAL01774,EMP043,OKR,프로세스 개선,반복 업무 자동화로 시간 36% 절감,2022 Q4,2022-10-07,2023-01-05,84,완료,84.0,TL003
GOAL01775,EMP043,KPI,협업 강화,크로스 팀 협업 프로젝트 4건 이상 참여,2022 Q4,2022-10-07,2023-01-05,84,완료,84.0,TL003
GOAL01776,EMP043,MBO,역량 개발,리더십 역량 강화 교육 이수,2023 Q1,2023-01-04,2023-04-04,92,완료,92.0,TL003
GOAL01777,EMP043,KPI,역량 개발,신규 기술 스택 학습 및 프로젝트 적용,2023 Q1,2023-01-04,2023-04-04,74,부분 달성,,TL003
GOAL01778,EMP043,OKR,혁신 과제,신규 아이디어 제안 및 실행 2건,2023 Q1,2023-01-04,2023-04-04,79,부분 달성,,TL003
GOAL01779,EMP043,KPI,역량 개발,Python 역량 강화 교육 이수,2023 Q1,2023-01-04,2023-04-04,77,부분 달성,,TL003
GOAL01780,EMP043,MBO,프로세스 개선,반복 업무 자동화로 시간 39% 절감,2023 Q2,2023-04-04,2023-07-03,98,완료,98.0,TL003
GOAL01781,EMP043,KPI,역량 개발,AI/ML 역량 강화 교육 이수,2023 Q2,2023-04-04,2023-07-03,81,완료,81.0,TL003
GOAL01782,EMP043,MBO,업무 성과,핵심 업무 지표 목표치 105% 달성,2023 Q2,2023-04-04,2023-07-03,90,완료,90.0,TL003
GOAL01783,EMP043,MBO,프로세스 개선,반복 업무 자동화로 시간 47% 절감,2023 Q2,2023-04-04,2023-07-03,75,부분 달성,,TL003
GOAL01784,EMP043,MBO,역량 개발,Python 역량 강화 교육 이수,2023 Q3,2023-07-04,2023-10-02,98,완료,98.0,TL003
GOAL01785,EMP043,MBO,협업 강화,크로스 팀 협업 프로젝트 5건 이상 참여,2023 Q3,2023-07-04,2023-10-02,97,완료,97.0,TL003
GOAL01786,EMP043,OKR,프로젝트 완수,프로젝트 목표 품질 기준 92% 달성,2023 Q3,2023-07-04,2023-10-02,96,완료,96.0,TL003
GOAL01787,EMP043,OKR,프로젝트 완수,개발 프로젝트 일정 내 완수,2023 Q3,2023-07-04,2023-10-02,99,완료,99.0,TL003
GOAL01788,EMP043,OKR,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2023 Q4,2023-10-05,2024-01-03,77,부분 달성,,TL003
GOAL01789,EMP043,KPI,협업 강화,지식 공유 세션 주도 및 팀 역량 향상 기여,2023 Q4,2023-10-05,2024-01-03,100,완료,100.0,TL003
GOAL01790,EMP043,KPI,협업 강화,지식 공유 세션 주도 및 팀 역량 향상 기여,2023 Q4,2023-10-05,2024-01-03,79,부분 달성,,TL003
GOAL01791,EMP043,OKR,역량 개발,Python 역량 강화 교육 이수,2023 Q4,2023-10-05,2024-01-03,100,완료,100.0,TL003
GOAL01792,EMP043,OKR,혁신 과제,신규 아이디어 제안 및 실행 3건,2024 Q1,2024-01-07,2024-04-06,93,완료,93.0,TL003
GOAL01793,EMP043,OKR,프로세스 개선,업무 프로세스 효율성 24% 개선,2024 Q1,2024-01-07,2024-04-06,94,완료,94.0,TL003
GOAL01794,EMP043,OKR,업무 성과,핵심 업무 지표 목표치 111% 달성,2024 Q2,2024-04-07,2024-07-06,75,부분 달성,,TL003
GOAL01795,EMP043,KPI,협업 강화,지식 공유 세션 주도 및 팀 역량 향상 기여,2024 Q2,2024-04-07,2024-07-06,74,부분 달성,,TL003
GOAL01796,EMP043,OKR,프로세스 개선,업무 프로세스 효율성 36% 개선,2024 Q2,2024-04-07,2024-07-06,77,부분 달성,,TL003
GOAL01797,EMP043,MBO,프로세스 개선,업무 프로세스 효율성 35% 개선,2024 Q3,2024-07-05,2024-10-03,97,완료,97.0,TL003
GOAL01798,EMP043,KPI,프로세스 개선,업무 프로세스 효율성 39% 개선,2024 Q3,2024-07-05,2024-10-03,73,부분 달성,,TL003
GOAL01799,EMP043,MBO,업무 성과,핵심 업무 지표 목표치 111% 달성,2024 Q4,2024-10-03,2025-01-01,72,부분 달성,,TL003
GOAL01800,EMP043,KPI,역량 개발,데이터 분석 역량 강화 교육 이수,2024 Q4,2024-10-03,2025-01-01,95,완료,95.0,TL003
GOAL01801,EMP043,KPI,프로젝트 완수,프로젝트 목표 품질 기준 92% 달성,2024 Q4,2024-10-03,2025-01-01,82,완료,82.0,TL003
GOAL01802,EMP045,MBO,역량 개발,리더십 역량 강화 교육 이수,2022 Q1,2022-01-07,2022-04-07,83,완료,83.0,TL003
GOAL01803,EMP045,OKR,프로젝트 완수,개발 프로젝트 일정 내 완수,2022 Q1,2022-01-07,2022-04-07,72,부분 달성,,TL003
GOAL01804,EMP045,KPI,역량 개발,신규 기술 스택 학습 및 프로젝트 적용,2022 Q1,2022-01-07,2022-04-07,73,부분 달성,,TL003
GOAL01805,EMP045,KPI,업무 성과,매출 11% 향상,2022 Q1,2022-01-07,2022-04-07,82,완료,82.0,TL003
GOAL01806,EMP045,MBO,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2022 Q2,2022-04-02,2022-07-01,78,부분 달성,,TL003
GOAL01807,EMP045,KPI,프로세스 개선,업무 프로세스 효율성 29% 개선,2022 Q2,2022-04-02,2022-07-01,88,완료,88.0,TL003
GOAL01808,EMP045,KPI,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2022 Q3,2022-07-01,2022-09-29,88,완료,88.0,TL003
GOAL01809,EMP045,KPI,프로젝트 완수,개선 프로젝트 일정 내 완수,2022 Q3,2022-07-01,2022-09-29,87,완료,87.0,TL003
GOAL01810,EMP045,KPI,업무 성과,핵심 업무 지표 목표치 92% 달성,2022 Q4,2022-10-05,2023-01-03,85,완료,85.0,TL003
GOAL01811,EMP045,KPI,업무 성과,핵심 업무 지표 목표치 113% 달성,2022 Q4,2022-10-05,2023-01-03,70,부분 달성,,TL003
GOAL01812,EMP045,KPI,프로젝트 완수,프로젝트 목표 품질 기준 97% 달성,2023 Q1,2023-01-04,2023-04-04,70,부분 달성,,TL003
GOAL01813,EMP045,OKR,업무 성과,핵심 업무 지표 목표치 98% 달성,2023 Q1,2023-01-04,2023-04-04,86,완료,86.0,TL003
GOAL01814,EMP045,KPI,역량 개발,신규 기술 스택 학습 및 프로젝트 적용,2023 Q1,2023-01-04,2023-04-04,88,완료,88.0,TL003
GOAL01815,EMP045,OKR,업무 성과,핵심 업무 지표 목표치 106% 달성,2023 Q1,2023-01-04,2023-04-04,86,완료,86.0,TL003
GOAL01816,EMP045,MBO,역량 개발,신규 기술 스택 학습 및 프로젝트 적용,2023 Q2,2023-04-07,2023-07-06,73,부분 달성,,TL003
GOAL01817,EMP045,KPI,업무 성과,품질 20% 향상,2023 Q2,2023-04-07,2023-07-06,81,완료,81.0,TL003
GOAL01818,EMP045,KPI,프로젝트 완수,프로젝트 목표 품질 기준 94% 달성,2023 Q2,2023-04-07,2023-07-06,83,완료,83.0,TL003
GOAL01819,EMP045,MBO,프로젝트 완수,프로젝트 목표 품질 기준 91% 달성,2023 Q2,2023-04-07,2023-07-06,84,완료,84.0,TL003
GOAL01820,EMP045,OKR,업무 성과,핵심 업무 지표 목표치 116% 달성,2023 Q3,2023-07-04,2023-10-02,75,부분 달성,,TL003
GOAL01821,EMP045,MBO,혁신 과제,신규 아이디어 제안 및 실행 1건,2023 Q3,2023-07-04,2023-10-02,93,완료,93.0,TL003
GOAL01822,EMP045,OKR,업무 성과,핵심 업무 지표 목표치 99% 달성,2023 Q3,2023-07-04,2023-10-02,71,부분 달성,,TL003
GOAL01823,EMP045,OKR,프로젝트 완수,프로젝트 목표 품질 기준 91% 달성,2023 Q4,2023-10-06,2024-01-04,95,완료,95.0,TL003
GOAL01824,EMP045,MBO,프로세스 개선,반복 업무 자동화로 시간 35% 절감,2023 Q4,2023-10-06,2024-01-04,91,완료,91.0,TL003
GOAL01825,EMP045,MBO,혁신 과제,신규 아이디어 제안 및 실행 1건,2024 Q1,2024-01-04,2024-04-03,85,완료,85.0,TL003
GOAL01826,EMP045,OKR,프로젝트 완수,프로젝트 목표 품질 기준 90% 달성,2024 Q1,2024-01-04,2024-04-03,87,완료,87.0,TL003
GOAL01827,EMP045,MBO,프로젝트 완수,개발 프로젝트 일정 내 완수,2024 Q2,2024-04-03,2024-07-02,85,완료,85.0,TL003
GOAL01828,EMP045,KPI,업무 성과,핵심 업무 지표 목표치 99% 달성,2024 Q2,2024-04-03,2024-07-02,91,완료,91.0,TL003
GOAL01829,EMP045,OKR,업무 성과,생산성 29% 향상,2024 Q3,2024-07-01,2024-09-29,92,완료,92.0,TL003
GOAL01830,EMP045,KPI,프로세스 개선,반복 업무 자동화로 시간 27% 절감,2024 Q3,2024-07-01,2024-09-29,93,완료,93.0,TL003
GOAL01831,EMP045,OKR,역량 개발,Python 역량 강화 교육 이수,2024 Q3,2024-07-01,2024-09-29,83,완료,83.0,TL003
GOAL01832,EMP045,OKR,역량 개발,리더십 역량 강화 교육 이수,2024 Q3,2024-07-01,2024-09-29,81,완료,81.0,TL003
GOAL01833,EMP045,MBO,협업 강화,크로스 팀 협업 프로젝트 3건 이상 참여,2024 Q4,2024-10-03,2025-01-01,99,완료,99.0,TL003
GOAL01834,EMP045,MBO,역량 개발,리더십 역량 강화 교육 이수,2024 Q4,2024-10-03,2025-01-01,88,완료,88.0,TL003
GOAL01835,EMP046,MBO,혁신 과제,신규 아이디어 제안 및 실행 3건,2023 Q2,2023-04-04,2023-07-03,75,부분 달성,,TL003
GOAL01836,EMP046,KPI,프로젝트 완수,개발 프로젝트 일정 내 완수,2023 Q2,2023-04-04,2023-07-03,73,부분 달성,,TL003
GOAL01837,EMP046,MBO,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2023 Q3,2023-07-05,2023-10-03,76,부분 달성,,TL003
GOAL01838,EMP046,KPI,프로젝트 완수,프로젝트 목표 품질 기준 92% 달성,2023 Q3,2023-07-05,2023-10-03,79,부분 달성,,TL003
GOAL01839,EMP046,KPI,프로젝트 완수,구축 프로젝트 일정 내 완수,2023 Q3,2023-07-05,2023-10-03,81,완료,81.0,TL003
GOAL01840,EMP046,KPI,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2023 Q3,2023-07-05,2023-10-03,74,부분 달성,,TL003
GOAL01841,EMP046,OKR,업무 성과,품질 17% 향상,2023 Q4,2023-10-05,2024-01-03,100,완료,100.0,TL003
GOAL01842,EMP046,KPI,협업 강화,크로스 팀 협업 프로젝트 4건 이상 참여,2023 Q4,2023-10-05,2024-01-03,79,부분 달성,,TL003
GOAL01843,EMP046,KPI,업무 성과,핵심 업무 지표 목표치 103% 달성,2024 Q1,2024-01-06,2024-04-05,72,부분 달성,,TL003
GOAL01844,EMP046,OKR,프로젝트 완수,구축 프로젝트 일정 내 완수,2024 Q1,2024-01-06,2024-04-05,73,부분 달성,,TL003
GOAL01845,EMP046,MBO,업무 성과,핵심 업무 지표 목표치 114% 달성,2024 Q2,2024-04-03,2024-07-02,75,부분 달성,,TL003
GOAL01846,EMP046,OKR,협업 강화,크로스 팀 협업 프로젝트 2건 이상 참여,2024 Q2,2024-04-03,2024-07-02,99,완료,99.0,TL003
GOAL01847,EMP046,OKR,프로세스 개선,업무 프로세스 효율성 29% 개선,2024 Q2,2024-04-03,2024-07-02,85,완료,85.0,TL003
GOAL01848,EMP046,OKR,프로세스 개선,업무 프로세스 효율성 25% 개선,2024 Q2,2024-04-03,2024-07-02,79,부분 달성,,TL003
GOAL01849,EMP046,OKR,프로세스 개선,반복 업무 자동화로 시간 39% 절감,2024 Q3,2024-07-02,2024-09-30,85,완료,85.0,TL003
GOAL01850,EMP046,OKR,업무 성과,핵심 업무 지표 목표치 92% 달성,2024 Q3,2024-07-02,2024-09-30,91,완료,91.0,TL003
GOAL01851,EMP046,KPI,역량 개발,Python 역량 강화 교육 이수,2024 Q4,2024-10-05,2025-01-03,78,부분 달성,,TL003
GOAL01852,EMP046,KPI,프로세스 개선,업무 프로세스 효율성 31% 개선,2024 Q4,2024-10-05,2025-01-03,93,완료,93.0,TL003
GOAL01853,EMP046,MBO,혁신 과제,신규 아이디어 제안 및 실행 3건,2024 Q4,2024-10-05,2025-01-03,86,완료,86.0,TL003
GOAL01854,EMP047,OKR,프로젝트 완수,개선 프로젝트 일정 내 완수,2022 Q1,2022-01-01,2022-04-01,75,부분 달성,,TL003
GOAL01855,EMP047,KPI,프로세스 개선,반복 업무 자동화로 시간 29% 절감,2022 Q1,2022-01-01,2022-04-01,71,부분 달성,,TL003
GOAL01856,EMP047,OKR,업무 성과,핵심 업무 지표 목표치 94% 달성,2022 Q2,2022-04-03,2022-07-02,70,부분 달성,,TL003
GOAL01857,EMP047,KPI,업무 성과,핵심 업무 지표 목표치 112% 달성,2022 Q2,2022-04-03,2022-07-02,84,완료,84.0,TL003
GOAL01858,EMP047,OKR,협업 강화,지식 공유 세션 주도 및 팀 역량 향상 기여,2022 Q3,2022-07-05,2022-10-03,94,완료,94.0,TL003
GOAL01859,EMP047,MBO,업무 성과,핵심 업무 지표 목표치 93% 달성,2022 Q3,2022-07-05,2022-10-03,71,부분 달성,,TL003
GOAL01860,EMP047,MBO,업무 성과,매출 27% 향상,2022 Q3,2022-07-05,2022-10-03,80,완료,80.0,TL003
GOAL01861,EMP047,MBO,혁신 과제,신규 아이디어 제안 및 실행 2건,2022 Q4,2022-10-01,2022-12-30,72,부분 달성,,TL003
GOAL01862,EMP047,KPI,협업 강화,지식 공유 세션 주도 및 팀 역량 향상 기여,2022 Q4,2022-10-01,2022-12-30,86,완료,86.0,TL003
GOAL01863,EMP047,KPI,협업 강화,크로스 팀 협업 프로젝트 5건 이상 참여,2022 Q4,2022-10-01,2022-12-30,76,부분 달성,,TL003
GOAL01864,EMP047,OKR,혁신 과제,신규 아이디어 제안 및 실행 3건,2023 Q1,2023-01-03,2023-04-03,70,부분 달성,,TL003
GOAL01865,EMP047,KPI,업무 성과,품질 20% 향상,2023 Q1,2023-01-03,2023-04-03,75,부분 달성,,TL003
GOAL01866,EMP047,OKR,프로세스 개선,업무 프로세스 효율성 30% 개선,2023 Q1,2023-01-03,2023-04-03,97,완료,97.0,TL003
GOAL01867,EMP047,MBO,혁신 과제,신규 아이디어 제안 및 실행 2건,2023 Q2,2023-04-01,2023-06-30,81,완료,81.0,TL003
GOAL01868,EMP047,OKR,협업 강화,지식 공유 세션 주도 및 팀 역량 향상 기여,2023 Q2,2023-04-01,2023-06-30,93,완료,93.0,TL003
GOAL01869,EMP047,OKR,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2023 Q3,2023-07-03,2023-10-01,84,완료,84.0,TL003
GOAL01870,EMP047,MBO,프로젝트 완수,구축 프로젝트 일정 내 완수,2023 Q3,2023-07-03,2023-10-01,96,완료,96.0,TL003
GOAL01871,EMP047,KPI,업무 성과,품질 20% 향상,2023 Q4,2023-10-01,2023-12-30,78,부분 달성,,TL003
GOAL01872,EMP047,MBO,협업 강화,지식 공유 세션 주도 및 팀 역량 향상 기여,2023 Q4,2023-10-01,2023-12-30,76,부분 달성,,TL003
GOAL01873,EMP047,MBO,역량 개발,데이터 분석 역량 강화 교육 이수,2023 Q4,2023-10-01,2023-12-30,76,부분 달성,,TL003
GOAL01874,EMP047,MBO,역량 개발,신규 기술 스택 학습 및 프로젝트 적용,2024 Q1,2024-01-06,2024-04-05,97,완료,97.0,TL003
GOAL01875,EMP047,OKR,협업 강화,지식 공유 세션 주도 및 팀 역량 향상 기여,2024 Q1,2024-01-06,2024-04-05,77,부분 달성,,TL003
GOAL01876,EMP047,KPI,프로젝트 완수,프로젝트 목표 품질 기준 90% 달성,2024 Q2,2024-04-03,2024-07-02,70,부분 달성,,TL003
GOAL01877,EMP047,KPI,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2024 Q2,2024-04-03,2024-07-02,93,완료,93.0,TL003
GOAL01878,EMP047,OKR,프로세스 개선,반복 업무 자동화로 시간 49% 절감,2024 Q2,2024-04-03,2024-07-02,87,완료,87.0,TL003
GOAL01879,EMP047,MBO,협업 강화,크로스 팀 협업 프로젝트 2건 이상 참여,2024 Q3,2024-07-05,2024-10-03,94,완료,94.0,TL003
GOAL01880,EMP047,KPI,혁신 과제,신규 아이디어 제안 및 실행 3건,2024 Q3,2024-07-05,2024-10-03,89,완료,89.0,TL003
GOAL01881,EMP047,OKR,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2024 Q4,2024-10-02,2024-12-31,81,완료,81.0,TL003
GOAL01882,EMP047,OKR,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2024 Q4,2024-10-02,2024-12-31,84,완료,84.0,TL003
GOAL01883,EMP048,OKR,역량 개발,신규 기술 스택 학습 및 프로젝트 적용,2024 Q3,2024-07-04,2024-10-02,76,부분 달성,,TL004
GOAL01884,EMP048,KPI,프로젝트 완수,프로젝트 목표 품질 기준 100% 달성,2024 Q3,2024-07-04,2024-10-02,90,완료,90.0,TL004
GOAL01885,EMP048,MBO,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2024 Q3,2024-07-04,2024-10-02,96,완료,96.0,TL004
GOAL01886,EMP048,OKR,프로젝트 완수,개선 프로젝트 일정 내 완수,2024 Q4,2024-10-01,2024-12-30,94,완료,94.0,TL004
GOAL01887,EMP048,MBO,협업 강화,지식 공유 세션 주도 및 팀 역량 향상 기여,2024 Q4,2024-10-01,2024-12-30,93,완료,93.0,TL004
GOAL01888,EMP049,MBO,프로젝트 완수,개발 프로젝트 일정 내 완수,2022 Q1,2022-01-04,2022-04-04,93,완료,93.0,TL004
GOAL01889,EMP049,MBO,혁신 과제,신규 아이디어 제안 및 실행 2건,2022 Q1,2022-01-04,2022-04-04,76,부분 달성,,TL004
GOAL01890,EMP049,OKR,업무 성과,핵심 업무 지표 목표치 116% 달성,2022 Q2,2022-04-04,2022-07-03,98,완료,98.0,TL004
GOAL01891,EMP049,OKR,협업 강화,크로스 팀 협업 프로젝트 3건 이상 참여,2022 Q2,2022-04-04,2022-07-03,97,완료,97.0,TL004
GOAL01892,EMP049,OKR,협업 강화,크로스 팀 협업 프로젝트 5건 이상 참여,2022 Q2,2022-04-04,2022-07-03,77,부분 달성,,TL004
GOAL01893,EMP049,MBO,프로세스 개선,반복 업무 자동화로 시간 40% 절감,2022 Q3,2022-07-01,2022-09-29,91,완료,91.0,TL004
GOAL01894,EMP049,OKR,역량 개발,신규 기술 스택 학습 및 프로젝트 적용,2022 Q3,2022-07-01,2022-09-29,79,부분 달성,,TL004
GOAL01895,EMP049,KPI,프로젝트 완수,프로젝트 목표 품질 기준 100% 달성,2022 Q4,2022-10-06,2023-01-04,81,완료,81.0,TL004
