meeting_id,employee_id,manager_id,meeting_datetime,duration_minutes,discussion_topics,action_items,next_meeting_scheduled,employee_satisfaction_score,meeting_status
MTG001234,EMP026,TL003,2023-11-27 16:30:00,60,업무 만족도 및 고충 상담 | 개인 역량 개발 계획 | 최근 프로젝트 피드백,다음 주까지 실행,2023-12-26,3.6,완료
MTG001235,EMP026,TL003,2024-01-16 16:00:00,60,개인 역량 개발 계획 | 업무 관련 어려움 및 지원 사항 | 차기 평가 준비,교육 신청 | 이번 달 내 검토,2024-02-15,4.9,완료
MTG001236,EMP026,TL003,2024-01-29 14:00:00,45,팀 협업 및 커뮤니케이션 | 교육 및 개발 기회 논의 | 개인 역량 개발 계획,이번 달 내 완료 | 프로젝트 배정,2024-03-04,4.2,완료
MTG001237,EMP026,TL003,2024-03-05 15:00:00,45,성과 목표 검토 및 조정 | 커리어 개발 논의,이번 달 내 검토,2024-04-09,4.1,완료
MTG001238,EMP026,TL003,2024-03-31 14:00:00,45,교육 및 개발 기회 논의 | 업무 진행 상황 점검,이번 달 내 실행,2024-05-02,3.7,완료
MTG001239,EMP026,TL003,2024-05-11 16:30:00,60,커리어 개발 논의 | 팀 협업 및 커뮤니케이션 | 차기 평가 준비,이번 달 내 완료 | 역량 개발 계획 수립,2024-06-06,4.8,완료
MTG001240,EMP026,TL003,2024-05-26 10:00:00,60,성과 목표 검토 및 조정 | 최근 프로젝트 피드백,피드백 반영,2024-06-24,4.5,완료
MTG001241,EMP026,TL003,2024-07-22 12:30:00,30,업무 만족도 및 고충 상담 | 성과 목표 검토 및 조정,목표 수정 | 다음 주까지 검토,2024-08-17,4.8,완료
MTG001242,EMP026,TL003,2024-08-05 16:30:00,60,교육 및 개발 기회 논의 | 차기 평가 준비,역량 개발 계획 수립,2024-09-08,4.3,완료
MTG001243,EMP026,TL003,2024-08-30 16:30:00,60,업무 관련 어려움 및 지원 사항 | 커리어 개발 논의,다음 분기까지 완료,2024-09-27,4.9,완료
MTG001244,EMP026,TL003,2024-10-18 12:00:00,45,개인 역량 개발 계획 | 업무 만족도 및 고충 상담,다음 분기까지 실행 | 목표 수정,2024-11-12,4.1,완료
MTG001245,EMP026,TL003,2024-11-08 10:00:00,30,교육 및 개발 기회 논의 | 차기 평가 준비 | 업무 만족도 및 고충 상담,이번 달 내 실행,2024-12-13,4.1,완료
MTG001246,EMP026,TL003,2024-12-03 15:00:00,60,팀 협업 및 커뮤니케이션 | 성과 목표 검토 및 조정 | 최근 프로젝트 피드백,역량 개발 계획 수립,2025-01-02,4.0,완료
MTG001247,EMP026,TL003,2025-01-08 16:30:00,30,업무 만족도 및 고충 상담 | 커리어 개발 논의,교육 신청 | 다음 주까지 검토,2025-02-03,4.1,완료
MTG001248,EMP026,TL003,2025-02-06 12:30:00,60,교육 및 개발 기회 논의 | 팀 협업 및 커뮤니케이션 | 성과 목표 검토 및 조정,다음 주까지 실행 | 피드백 반영,2025-03-06,4.3,완료
MTG001249,EMP026,TL003,2025-03-18 11:00:00,45,업무 진행 상황 점검 | 업무 관련 어려움 및 지원 사항,다음 분기까지 완료 | 피드백 반영,2025-04-12,4.5,완료
MTG001250,EMP026,TL003,2025-04-15 10:30:00,30,업무 관련 어려움 및 지원 사항 | 커리어 개발 논의,역량 개발 계획 수립 | 다음 분기까지 실행,2025-05-15,3.6,완료
MTG001251,EMP026,TL003,2025-05-16 11:00:00,45,교육 및 개발 기회 논의 | 커리어 개발 논의,프로젝트 배정,2025-06-20,4.9,완료
MTG001252,EMP026,TL003,2025-05-27 11:00:00,45,업무 만족도 및 고충 상담 | 커리어 개발 논의 | 차기 평가 준비,교육 신청,2025-06-22,3.8,완료
MTG001253,EMP026,TL003,2025-07-11 16:30:00,30,업무 만족도 및 고충 상담 | 교육 및 개발 기회 논의,다음 분기까지 실행 | 프로젝트 배정,2025-08-07,4.1,완료
MTG001254,EMP026,TL003,2025-08-12 13:00:00,60,커리어 개발 논의 | 최근 프로젝트 피드백,다음 분기까지 실행 | 역량 개발 계획 수립,2025-09-11,4.0,완료
MTG001255,EMP026,TL003,2025-08-26 14:30:00,45,업무 만족도 및 고충 상담 | 개인 역량 개발 계획 | 차기 평가 준비,다음 분기까지 실행 | 역량 개발 계획 수립,2025-09-23,4.7,완료
MTG001256,EMP026,TL003,2025-10-15 11:30:00,30,성과 목표 검토 및 조정 | 최근 프로젝트 피드백,다음 분기까지 완료 | 역량 개발 계획 수립,2025-11-18,3.6,완료
MTG001257,EMP026,TL003,2025-10-28 10:00:00,30,차기 평가 준비 | 성과 목표 검토 및 조정,피드백 반영 | 다음 분기까지 검토,2025-11-24,4.3,완료
MTG001258,EMP027,TL003,2023-01-18 12:30:00,45,성과 목표 검토 및 조정 | 업무 관련 어려움 및 지원 사항,다음 주까지 완료,2023-02-15,4.4,완료
MTG001259,EMP027,TL003,2023-02-28 13:30:00,60,커리어 개발 논의 | 업무 진행 상황 점검,다음 주까지 완료,2023-04-02,3.8,완료
MTG001260,EMP027,TL003,2023-03-05 14:30:00,30,업무 진행 상황 점검 | 개인 역량 개발 계획 | 팀 협업 및 커뮤니케이션,프로젝트 배정,2023-04-02,4.4,완료
MTG001261,EMP027,TL003,2023-04-11 14:00:00,60,업무 만족도 및 고충 상담 | 커리어 개발 논의 | 최근 프로젝트 피드백,교육 신청,2023-05-12,3.9,완료
MTG001262,EMP027,TL003,2023-05-14 14:00:00,60,업무 관련 어려움 및 지원 사항 | 최근 프로젝트 피드백 | 개인 역량 개발 계획,역량 개발 계획 수립 | 다음 주까지 검토,2023-06-16,3.7,완료
MTG001263,EMP027,TL003,2023-06-28 14:00:00,30,개인 역량 개발 계획 | 팀 협업 및 커뮤니케이션,역량 개발 계획 수립 | 다음 분기까지 실행,2023-07-26,4.2,완료
MTG001264,EMP027,TL003,2023-07-12 16:30:00,30,최근 프로젝트 피드백 | 개인 역량 개발 계획,교육 신청,2023-08-13,4.0,완료
MTG001265,EMP027,TL003,2023-08-02 11:00:00,60,팀 협업 및 커뮤니케이션 | 개인 역량 개발 계획,프로젝트 배정,2023-09-04,3.9,완료
MTG001266,EMP027,TL003,2023-08-30 10:00:00,30,개인 역량 개발 계획 | 성과 목표 검토 및 조정 | 차기 평가 준비,프로젝트 배정,2023-09-24,4.6,완료
MTG001267,EMP027,TL003,2023-10-26 15:30:00,60,교육 및 개발 기회 논의 | 개인 역량 개발 계획,이번 달 내 실행 | 교육 신청,2023-11-23,4.6,완료
MTG001268,EMP027,TL003,2023-10-28 15:30:00,45,교육 및 개발 기회 논의 | 성과 목표 검토 및 조정,피드백 반영,2023-11-24,4.8,완료
MTG001269,EMP027,TL003,2023-11-29 10:00:00,30,업무 만족도 및 고충 상담 | 업무 관련 어려움 및 지원 사항,다음 주까지 검토,2023-12-24,4.4,완료
MTG001270,EMP027,TL003,2023-12-30 13:00:00,30,개인 역량 개발 계획 | 교육 및 개발 기회 논의,교육 신청 | 다음 분기까지 실행,2024-01-28,4.4,완료
MTG001271,EMP027,TL003,2024-02-14 12:30:00,45,업무 만족도 및 고충 상담 | 팀 협업 및 커뮤니케이션 | 교육 및 개발 기회 논의,다음 주까지 완료 | 역량 개발 계획 수립,2024-03-13,4.5,완료
MTG001272,EMP027,TL003,2024-03-21 15:30:00,60,커리어 개발 논의 | 개인 역량 개발 계획,이번 달 내 완료,2024-04-24,4.2,완료
MTG001273,EMP027,TL003,2024-04-11 15:00:00,45,개인 역량 개발 계획 | 성과 목표 검토 및 조정 | 최근 프로젝트 피드백,다음 분기까지 검토,2024-05-08,4.2,완료
MTG001274,EMP027,TL003,2024-05-14 14:00:00,60,업무 진행 상황 점검 | 개인 역량 개발 계획 | 팀 협업 및 커뮤니케이션,이번 달 내 완료 | 교육 신청,2024-06-12,3.9,완료
MTG001275,EMP027,TL003,2024-06-07 12:30:00,45,업무 관련 어려움 및 지원 사항 | 커리어 개발 논의 | 성과 목표 검토 및 조정,피드백 반영,2024-07-05,5.0,완료
MTG001276,EMP027,TL003,2024-06-26 15:00:00,45,업무 관련 어려움 및 지원 사항 | 성과 목표 검토 및 조정 | 업무 진행 상황 점검,다음 주까지 완료,2024-07-22,4.9,완료
MTG001277,EMP027,TL003,2024-07-28 14:30:00,30,교육 및 개발 기회 논의 | 커리어 개발 논의,목표 수정 | 다음 주까지 완료,2024-08-23,4.0,완료
MTG001278,EMP027,TL003,2024-09-13 15:00:00,60,업무 만족도 및 고충 상담 | 개인 역량 개발 계획 | 팀 협업 및 커뮤니케이션,목표 수정,2024-10-11,4.5,완료
MTG001279,EMP027,TL003,2024-09-26 16:00:00,30,업무 관련 어려움 및 지원 사항 | 교육 및 개발 기회 논의 | 성과 목표 검토 및 조정,이번 달 내 실행,2024-10-21,4.3,완료
MTG001280,EMP027,TL003,2024-10-24 12:30:00,30,최근 프로젝트 피드백 | 업무 진행 상황 점검,다음 분기까지 실행 | 교육 신청,2024-11-26,4.6,완료
MTG001281,EMP027,TL003,2024-11-28 16:30:00,45,팀 협업 및 커뮤니케이션 | 커리어 개발 논의,이번 달 내 검토 | 피드백 반영,2024-12-24,4.1,완료
MTG001282,EMP027,TL003,2025-01-01 12:30:00,45,팀 협업 및 커뮤니케이션 | 업무 만족도 및 고충 상담 | 개인 역량 개발 계획,이번 달 내 실행,2025-02-03,4.4,완료
MTG001283,EMP027,TL003,2025-02-13 15:30:00,45,팀 협업 및 커뮤니케이션 | 커리어 개발 논의 | 개인 역량 개발 계획,역량 개발 계획 수립 | 다음 주까지 실행,2025-03-15,4.9,완료
MTG001284,EMP027,TL003,2025-02-21 14:00:00,45,커리어 개발 논의 | 업무 진행 상황 점검,다음 주까지 검토,2025-03-28,4.1,완료
MTG001285,EMP027,TL003,2025-04-06 15:30:00,30,업무 만족도 및 고충 상담 | 교육 및 개발 기회 논의,이번 달 내 검토 | 역량 개발 계획 수립,2025-05-11,3.6,완료
MTG001286,EMP027,TL003,2025-05-12 16:30:00,45,교육 및 개발 기회 논의 | 업무 진행 상황 점검,프로젝트 배정 | 이번 달 내 완료,2025-06-07,4.6,완료
MTG001287,EMP027,TL003,2025-05-21 11:00:00,30,차기 평가 준비 | 업무 진행 상황 점검 | 개인 역량 개발 계획,역량 개발 계획 수립,2025-06-25,3.6,완료
MTG001288,EMP027,TL003,2025-07-13 10:30:00,45,최근 프로젝트 피드백 | 업무 만족도 및 고충 상담,프로젝트 배정,2025-08-11,4.0,완료
MTG001289,EMP027,TL003,2025-08-16 12:00:00,30,교육 및 개발 기회 논의 | 팀 협업 및 커뮤니케이션,다음 분기까지 실행 | 교육 신청,2025-09-10,4.2,완료
MTG001290,EMP027,TL003,2025-08-27 12:30:00,30,팀 협업 및 커뮤니케이션 | 교육 및 개발 기회 논의,이번 달 내 실행 | 프로젝트 배정,2025-09-29,4.0,완료
MTG001291,EMP027,TL003,2025-09-26 13:00:00,30,업무 진행 상황 점검 | 교육 및 개발 기회 논의,다음 주까지 검토 | 프로젝트 배정,2025-10-26,4.6,완료
MTG001292,EMP027,TL003,2025-10-30 16:30:00,45,커리어 개발 논의 | 차기 평가 준비,교육 신청,2025-11-28,4.5,완료
MTG001293,EMP028,TL003,2023-01-15 16:30:00,45,팀 협업 및 커뮤니케이션 | 성과 목표 검토 및 조정,교육 신청 | 이번 달 내 완료,2023-02-12,3.7,완료
MTG001294,EMP028,TL003,2023-02-10 15:00:00,45,업무 진행 상황 점검 | 성과 목표 검토 및 조정,목표 수정,2023-03-09,4.0,완료
MTG001295,EMP028,TL003,2023-03-09 12:00:00,60,개인 역량 개발 계획 | 최근 프로젝트 피드백,프로젝트 배정,2023-04-07,4.4,완료
MTG001296,EMP028,TL003,2023-04-10 14:30:00,30,개인 역량 개발 계획 | 업무 만족도 및 고충 상담,이번 달 내 완료,2023-05-05,3.7,완료
MTG001297,EMP028,TL003,2023-05-07 10:00:00,30,성과 목표 검토 및 조정 | 차기 평가 준비 | 업무 만족도 및 고충 상담,다음 분기까지 실행,2023-06-09,3.9,완료
MTG001298,EMP028,TL003,2023-06-22 13:00:00,30,교육 및 개발 기회 논의 | 업무 만족도 및 고충 상담 | 최근 프로젝트 피드백,프로젝트 배정 | 이번 달 내 실행,2023-07-21,3.8,완료
MTG001299,EMP028,TL003,2023-07-22 13:30:00,45,개인 역량 개발 계획 | 성과 목표 검토 및 조정 | 업무 만족도 및 고충 상담,교육 신청 | 이번 달 내 실행,2023-08-19,4.2,완료
MTG001300,EMP028,TL003,2023-08-16 12:30:00,30,차기 평가 준비 | 업무 진행 상황 점검,이번 달 내 실행,2023-09-14,4.2,완료
MTG001301,EMP028,TL003,2023-09-14 10:00:00,60,업무 진행 상황 점검 | 업무 만족도 및 고충 상담 | 팀 협업 및 커뮤니케이션,프로젝트 배정,2023-10-18,4.3,완료
MTG001302,EMP028,TL003,2023-10-10 13:00:00,30,업무 관련 어려움 및 지원 사항 | 팀 협업 및 커뮤니케이션,다음 주까지 실행,2023-11-14,3.9,완료
MTG001303,EMP028,TL003,2023-11-14 13:30:00,60,차기 평가 준비 | 개인 역량 개발 계획 | 커리어 개발 논의,이번 달 내 검토,2023-12-09,3.9,완료
MTG001304,EMP028,TL003,2023-12-14 10:00:00,30,교육 및 개발 기회 논의 | 커리어 개발 논의 | 팀 협업 및 커뮤니케이션,교육 신청,2024-01-09,4.9,완료
MTG001305,EMP028,TL003,2023-12-30 15:30:00,45,팀 협업 및 커뮤니케이션 | 최근 프로젝트 피드백,역량 개발 계획 수립 | 이번 달 내 검토,2024-02-01,3.9,완료
MTG001306,EMP028,TL003,2024-02-08 13:00:00,60,업무 관련 어려움 및 지원 사항 | 개인 역량 개발 계획 | 차기 평가 준비,피드백 반영,2024-03-06,3.5,완료
MTG001307,EMP028,TL003,2024-03-05 14:00:00,45,업무 만족도 및 고충 상담 | 성과 목표 검토 및 조정 | 업무 관련 어려움 및 지원 사항,역량 개발 계획 수립 | 다음 주까지 완료,2024-04-09,4.5,완료
MTG001308,EMP028,TL003,2024-04-20 14:00:00,60,최근 프로젝트 피드백 | 차기 평가 준비 | 성과 목표 검토 및 조정,역량 개발 계획 수립,2024-05-25,4.7,완료
MTG001309,EMP028,TL003,2024-04-25 14:30:00,45,업무 관련 어려움 및 지원 사항 | 차기 평가 준비,교육 신청,2024-05-21,3.7,완료
MTG001310,EMP028,TL003,2024-06-05 16:00:00,30,성과 목표 검토 및 조정 | 교육 및 개발 기회 논의 | 차기 평가 준비,피드백 반영,2024-07-09,4.3,완료
MTG001311,EMP028,TL003,2024-06-26 16:00:00,45,팀 협업 및 커뮤니케이션 | 최근 프로젝트 피드백 | 업무 진행 상황 점검,교육 신청 | 이번 달 내 검토,2024-07-26,4.5,완료
MTG001312,EMP028,TL003,2024-07-31 15:00:00,30,차기 평가 준비 | 성과 목표 검토 및 조정,다음 분기까지 실행 | 프로젝트 배정,2024-08-26,4.9,완료
MTG001313,EMP028,TL003,2024-08-26 11:30:00,30,업무 만족도 및 고충 상담 | 커리어 개발 논의,이번 달 내 검토,2024-09-26,4.5,완료
MTG001314,EMP028,TL003,2024-10-07 13:30:00,45,최근 프로젝트 피드백 | 차기 평가 준비,프로젝트 배정 | 이번 달 내 검토,2024-11-06,3.6,완료
MTG001315,EMP028,TL003,2024-11-13 11:00:00,30,성과 목표 검토 및 조정 | 개인 역량 개발 계획 | 업무 만족도 및 고충 상담,이번 달 내 검토,2024-12-09,4.5,완료
MTG001316,EMP028,TL003,2024-12-19 13:00:00,45,업무 만족도 및 고충 상담 | 업무 진행 상황 점검,이번 달 내 실행,2025-01-15,3.7,완료
MTG001317,EMP028,TL003,2024-12-25 10:00:00,45,커리어 개발 논의 | 업무 만족도 및 고충 상담,역량 개발 계획 수립 | 다음 주까지 완료,2025-01-29,3.6,완료
MTG001318,EMP028,TL003,2025-02-16 14:30:00,30,교육 및 개발 기회 논의 | 개인 역량 개발 계획,피드백 반영 | 다음 주까지 완료,2025-03-20,5.0,완료
MTG001319,EMP028,TL003,2025-02-28 13:30:00,30,성과 목표 검토 및 조정 | 업무 진행 상황 점검,이번 달 내 검토 | 목표 수정,2025-03-27,4.3,완료
MTG001320,EMP028,TL003,2025-04-16 13:00:00,45,업무 만족도 및 고충 상담 | 업무 관련 어려움 및 지원 사항,다음 주까지 실행 | 교육 신청,2025-05-14,3.5,완료
MTG001321,EMP028,TL003,2025-05-18 16:00:00,45,성과 목표 검토 및 조정 | 차기 평가 준비 | 교육 및 개발 기회 논의,다음 주까지 검토,2025-06-16,4.8,완료
MTG001322,EMP028,TL003,2025-05-21 15:30:00,45,업무 만족도 및 고충 상담 | 성과 목표 검토 및 조정,다음 분기까지 완료,2025-06-17,3.9,완료
MTG001323,EMP028,TL003,2025-06-30 10:30:00,30,업무 만족도 및 고충 상담 | 차기 평가 준비 | 업무 진행 상황 점검,다음 분기까지 실행 | 교육 신청,2025-08-01,4.7,완료
MTG001324,EMP028,TL003,2025-07-20 10:00:00,30,업무 진행 상황 점검 | 차기 평가 준비,피드백 반영,2025-08-17,5.0,완료
MTG001325,EMP028,TL003,2025-08-24 10:30:00,30,성과 목표 검토 및 조정 | 최근 프로젝트 피드백 | 팀 협업 및 커뮤니케이션,다음 주까지 검토 | 교육 신청,2025-09-22,4.1,완료
MTG001326,EMP028,TL003,2025-10-14 16:30:00,45,교육 및 개발 기회 논의 | 업무 관련 어려움 및 지원 사항,역량 개발 계획 수립,2025-11-14,4.0,완료
MTG001327,EMP028,TL003,2025-11-09 14:00:00,60,차기 평가 준비 | 업무 만족도 및 고충 상담,역량 개발 계획 수립 | 다음 주까지 실행,2025-12-09,3.7,완료
MTG001328,EMP029,TL003,2023-01-05 11:30:00,30,성과 목표 검토 및 조정 | 차기 평가 준비,다음 주까지 실행 | 프로젝트 배정,2023-02-05,4.0,완료
MTG001329,EMP029,TL003,2023-02-22 14:00:00,60,커리어 개발 논의 | 업무 만족도 및 고충 상담 | 교육 및 개발 기회 논의,피드백 반영,2023-03-29,3.7,완료
MTG001330,EMP029,TL003,2023-03-29 16:00:00,60,교육 및 개발 기회 논의 | 커리어 개발 논의 | 최근 프로젝트 피드백,다음 주까지 검토,2023-04-30,5.0,완료
MTG001331,EMP029,TL003,2023-04-15 15:30:00,45,차기 평가 준비 | 개인 역량 개발 계획 | 업무 관련 어려움 및 지원 사항,다음 분기까지 완료 | 목표 수정,2023-05-11,3.8,완료
MTG001332,EMP029,TL003,2023-05-08 16:30:00,30,업무 만족도 및 고충 상담 | 성과 목표 검토 및 조정,피드백 반영,2023-06-04,4.4,완료
MTG001333,EMP029,TL003,2023-06-13 12:30:00,30,최근 프로젝트 피드백 | 업무 관련 어려움 및 지원 사항,역량 개발 계획 수립,2023-07-14,4.3,완료
MTG001334,EMP029,TL003,2023-07-07 11:30:00,60,팀 협업 및 커뮤니케이션 | 업무 관련 어려움 및 지원 사항,목표 수정,2023-08-05,4.5,완료
MTG001335,EMP029,TL003,2023-08-16 13:00:00,60,업무 진행 상황 점검 | 업무 관련 어려움 및 지원 사항,목표 수정,2023-09-12,4.7,완료
MTG001336,EMP029,TL003,2023-09-09 10:30:00,45,업무 만족도 및 고충 상담 | 커리어 개발 논의 | 최근 프로젝트 피드백,역량 개발 계획 수립 | 다음 분기까지 완료,2023-10-13,4.3,완료
MTG001337,EMP029,TL003,2023-10-20 12:00:00,45,최근 프로젝트 피드백 | 교육 및 개발 기회 논의 | 업무 만족도 및 고충 상담,교육 신청,2023-11-15,4.9,완료
MTG001338,EMP029,TL003,2023-11-11 16:00:00,60,업무 진행 상황 점검 | 업무 관련 어려움 및 지원 사항,다음 주까지 실행,2023-12-06,4.6,완료
MTG001339,EMP029,TL003,2023-12-07 12:00:00,45,교육 및 개발 기회 논의 | 최근 프로젝트 피드백 | 성과 목표 검토 및 조정,역량 개발 계획 수립 | 다음 주까지 실행,2024-01-09,4.2,완료
MTG001340,EMP029,TL003,2024-01-19 12:30:00,45,업무 만족도 및 고충 상담 | 차기 평가 준비 | 최근 프로젝트 피드백,역량 개발 계획 수립 | 다음 분기까지 검토,2024-02-18,4.0,완료
MTG001341,EMP029,TL003,2024-02-15 10:30:00,30,업무 만족도 및 고충 상담 | 교육 및 개발 기회 논의 | 성과 목표 검토 및 조정,다음 주까지 검토,2024-03-14,4.4,완료
MTG001342,EMP029,TL003,2024-03-24 14:00:00,30,업무 만족도 및 고충 상담 | 팀 협업 및 커뮤니케이션,이번 달 내 실행,2024-04-28,4.9,완료
MTG001343,EMP029,TL003,2024-04-09 13:00:00,30,업무 관련 어려움 및 지원 사항 | 성과 목표 검토 및 조정,다음 분기까지 실행,2024-05-04,3.6,완료
MTG001344,EMP029,TL003,2024-04-29 13:00:00,45,성과 목표 검토 및 조정 | 업무 진행 상황 점검 | 팀 협업 및 커뮤니케이션,역량 개발 계획 수립 | 다음 분기까지 검토,2024-05-26,4.7,완료
MTG001345,EMP029,TL003,2024-06-08 10:30:00,45,커리어 개발 논의 | 개인 역량 개발 계획,프로젝트 배정 | 다음 주까지 검토,2024-07-12,3.8,완료
MTG001346,EMP029,TL003,2024-06-29 13:00:00,30,차기 평가 준비 | 커리어 개발 논의,이번 달 내 실행,2024-08-02,4.0,완료
MTG001347,EMP029,TL003,2024-08-14 16:00:00,45,업무 관련 어려움 및 지원 사항 | 팀 협업 및 커뮤니케이션,역량 개발 계획 수립 | 다음 주까지 실행,2024-09-14,4.0,완료
MTG001348,EMP029,TL003,2024-09-09 11:30:00,30,개인 역량 개발 계획 | 차기 평가 준비 | 최근 프로젝트 피드백,역량 개발 계획 수립 | 다음 주까지 실행,2024-10-04,4.3,완료
MTG001349,EMP029,TL003,2024-10-16 11:00:00,30,커리어 개발 논의 | 팀 협업 및 커뮤니케이션,목표 수정,2024-11-13,4.5,완료
MTG001350,EMP029,TL003,2024-11-16 15:00:00,60,커리어 개발 논의 | 개인 역량 개발 계획,다음 분기까지 실행 | 프로젝트 배정,2024-12-14,5.0,완료
MTG001351,EMP029,TL003,2024-12-04 12:00:00,60,업무 진행 상황 점검 | 차기 평가 준비,이번 달 내 완료 | 프로젝트 배정,2025-01-02,4.4,완료
MTG001352,EMP029,TL003,2024-12-28 14:00:00,60,업무 관련 어려움 및 지원 사항 | 성과 목표 검토 및 조정 | 개인 역량 개발 계획,이번 달 내 실행,2025-01-24,4.1,완료
MTG001353,EMP029,TL003,2025-02-07 15:00:00,30,업무 진행 상황 점검 | 교육 및 개발 기회 논의,피드백 반영,2025-03-09,3.9,완료
MTG001354,EMP029,TL003,2025-03-01 11:00:00,60,업무 진행 상황 점검 | 교육 및 개발 기회 논의,다음 주까지 검토 | 피드백 반영,2025-04-03,3.6,완료
MTG001355,EMP029,TL003,2025-04-01 16:30:00,45,업무 관련 어려움 및 지원 사항 | 업무 만족도 및 고충 상담 | 성과 목표 검토 및 조정,프로젝트 배정 | 다음 주까지 실행,2025-05-06,4.9,완료
MTG001356,EMP029,TL003,2025-05-14 10:30:00,45,최근 프로젝트 피드백 | 팀 협업 및 커뮤니케이션,이번 달 내 검토,2025-06-14,4.3,완료
MTG001357,EMP029,TL003,2025-06-08 13:30:00,60,개인 역량 개발 계획 | 커리어 개발 논의 | 성과 목표 검토 및 조정,다음 분기까지 완료,2025-07-05,4.1,완료
MTG001358,EMP029,TL003,2025-07-07 10:30:00,45,개인 역량 개발 계획 | 최근 프로젝트 피드백,프로젝트 배정,2025-08-09,3.9,완료
MTG001359,EMP029,TL003,2025-08-14 16:30:00,30,교육 및 개발 기회 논의 | 성과 목표 검토 및 조정 | 팀 협업 및 커뮤니케이션,프로젝트 배정 | 다음 주까지 완료,2025-09-13,3.7,완료
MTG001360,EMP029,TL003,2025-08-26 12:00:00,30,커리어 개발 논의 | 업무 관련 어려움 및 지원 사항,이번 달 내 검토 | 목표 수정,2025-09-23,4.7,완료
MTG001361,EMP029,TL003,2025-09-24 12:30:00,45,개인 역량 개발 계획 | 교육 및 개발 기회 논의,다음 주까지 실행,2025-10-24,4.0,완료
MTG001362,EMP029,TL003,2025-11-08 16:00:00,60,차기 평가 준비 | 업무 관련 어려움 및 지원 사항,목표 수정 | 이번 달 내 검토,2025-12-06,3.8,완료
MTG001363,EMP030,TL003,2023-01-02 11:00:00,30,커리어 개발 논의 | 업무 관련 어려움 및 지원 사항,이번 달 내 완료 | 목표 수정,2023-02-04,4.4,완료
MTG001364,EMP030,TL003,2023-02-09 12:30:00,60,성과 목표 검토 및 조정 | 커리어 개발 논의,피드백 반영,2023-03-13,4.5,완료
MTG001365,EMP030,TL003,2023-03-25 14:30:00,30,업무 관련 어려움 및 지원 사항 | 최근 프로젝트 피드백,피드백 반영 | 다음 주까지 실행,2023-04-24,3.9,완료
MTG001366,EMP030,TL003,2023-04-24 15:30:00,60,교육 및 개발 기회 논의 | 업무 진행 상황 점검,목표 수정,2023-05-27,4.8,완료
MTG001367,EMP030,TL003,2023-05-17 15:30:00,30,팀 협업 및 커뮤니케이션 | 최근 프로젝트 피드백 | 차기 평가 준비,교육 신청,2023-06-13,3.9,완료
MTG001368,EMP030,TL003,2023-06-10 11:30:00,60,차기 평가 준비 | 교육 및 개발 기회 논의 | 팀 협업 및 커뮤니케이션,이번 달 내 검토 | 목표 수정,2023-07-10,4.9,완료
MTG001369,EMP030,TL003,2023-07-10 11:00:00,30,업무 만족도 및 고충 상담 | 개인 역량 개발 계획 | 최근 프로젝트 피드백,다음 분기까지 실행 | 역량 개발 계획 수립,2023-08-04,4.7,완료
MTG001370,EMP030,TL003,2023-08-03 14:30:00,60,커리어 개발 논의 | 업무 진행 상황 점검 | 차기 평가 준비,피드백 반영 | 다음 주까지 완료,2023-09-06,4.1,완료
MTG001371,EMP030,TL003,2023-09-01 10:30:00,60,개인 역량 개발 계획 | 업무 진행 상황 점검 | 커리어 개발 논의,다음 분기까지 완료,2023-10-06,4.1,완료
MTG001372,EMP030,TL003,2023-10-21 10:00:00,60,업무 만족도 및 고충 상담 | 업무 진행 상황 점검 | 커리어 개발 논의,목표 수정 | 이번 달 내 검토,2023-11-16,3.6,완료
MTG001373,EMP030,TL003,2023-11-22 13:00:00,60,성과 목표 검토 및 조정 | 교육 및 개발 기회 논의,프로젝트 배정,2023-12-27,4.2,완료
MTG001374,EMP030,TL003,2023-12-05 13:30:00,60,업무 진행 상황 점검 | 커리어 개발 논의,다음 주까지 실행 | 역량 개발 계획 수립,2024-01-02,3.5,완료
MTG001375,EMP030,TL003,2023-12-27 11:00:00,60,커리어 개발 논의 | 업무 진행 상황 점검,이번 달 내 검토 | 프로젝트 배정,2024-01-21,4.0,완료
MTG001376,EMP030,TL003,2024-02-15 14:30:00,60,팀 협업 및 커뮤니케이션 | 업무 만족도 및 고충 상담,목표 수정 | 이번 달 내 완료,2024-03-16,3.8,완료
MTG001377,EMP030,TL003,2024-03-08 10:00:00,45,최근 프로젝트 피드백 | 성과 목표 검토 및 조정,교육 신청 | 다음 주까지 완료,2024-04-12,4.6,완료
MTG001378,EMP030,TL003,2024-03-28 12:30:00,30,커리어 개발 논의 | 업무 만족도 및 고충 상담 | 팀 협업 및 커뮤니케이션,이번 달 내 실행,2024-04-23,3.6,완료
MTG001379,EMP030,TL003,2024-05-23 10:00:00,45,성과 목표 검토 및 조정 | 팀 협업 및 커뮤니케이션,다음 주까지 검토,2024-06-25,4.9,완료
MTG001380,EMP030,TL003,2024-06-07 15:00:00,30,차기 평가 준비 | 업무 진행 상황 점검,역량 개발 계획 수립 | 다음 주까지 검토,2024-07-07,4.8,완료
MTG001381,EMP030,TL003,2024-07-07 15:00:00,45,성과 목표 검토 및 조정 | 차기 평가 준비,이번 달 내 검토,2024-08-04,5.0,완료
